0      0.0      
      1      0.000e+00      
      365      1.168e-02      
      366      1.824e-02      
      371      7.355e-03      
      372      3.940e-03      
      2198      5.748e-03      
      2199      1.675e-02      
      2200      3.880e-02      
      2201      7.150e-02      
      2202      1.050e-01      
      2203      1.232e-01      
      2204      1.160e-01      
      2205      8.822e-02      
      2206      5.490e-02      
      2207      2.857e-02      
      2208      1.294e-02      
      2212      6.127e-04      
      2213      3.061e-04      
      2397      9.644e-03      
      2398      2.625e-02      
      2399      5.693e-02      
      2400      9.863e-02      
      2401      1.369e-01      
      2402      1.527e-01      
      2403      1.378e-01      
      2404      1.015e-01      
      2405      6.248e-02      
      2406      3.358e-02      
      2407      1.720e-02      
      2409      6.041e-03      
      2410      4.451e-03
3624   4.451e-03
